ID,PROBLEM,URL,LEVEL,TAG,B75,B50,NC.io,G75,LC,SP,NOTES
1,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,Design/OOD,,,X,X,X,,"Linked List, Hashtable"
2,Min Stack,https://leetcode.com/problems/min-stack/,Easy,Design/OOD,,,X,X,X,,Stack
3,Implement Queue Using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,Design/OOD,,,,X,,,
4,Implement Stack Using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,Design/OOD,,,,,,,
5,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,Design/OOD,,,,X,X,,"Array, Hashtable, RNG"
6,Insert Delete GetRandom O(1) Duplicates,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,Hard,Design/OOD,,,,,,,"Array, Hashtable, RNG, Set"
7,Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/,Medium,Design/OOD,,,,,X,,"Array, Math, RNG"
8,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,Medium,Design/OOD,,,,X,,,RNG
9,Time-Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,Medium,Design/OOD,,,X,X,,,"Hashtable, Binary Search

use hashmap that maps keys to a list of tuples that contain values and timestamps
on get, binary search on timestamps to give you the MAXIMUM value such that the guess is <= timestamp"
10,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/,Easy,Design/OOD,,,,,,,
11,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/,Medium,Design/OOD,,,,X,,,Array
12,Design Twitter,https://leetcode.com/problems/design-twitter/,Medium,Design/OOD,,,X,,,,
13,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,Hard,Design/OOD,,,,X,,X,Bucket Sort
14,Prefix and Suffix Search,https://leetcode.com/problems/prefix-and-suffix-search/,Hard,Design/OOD,,,,,,X,Trie
15,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system/,Hard,Design/OOD,,,,,,X,Trie
16,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/,Hard,Design/OOD,,,,X,,,Trie
17,Operations on Tree,https://leetcode.com/problems/operations-on-tree/,Medium,Design/OOD,,,,,,,Tree
18,Rank Teams by Votes,https://leetcode.com/problems/rank-teams-by-votes/,Medium,Design/OOD,,,,,,,Sorting
19,Design Underground System,https://leetcode.com/problems/design-underground-system/,Medium,Design/OOD,,,,,,,Hashtable
20,Design Excel Sum Formula,https://leetcode.com/problems/design-excel-sum-formula/description/,,Design/OOD,,,,,,,
21,Online Stock Span,https://leetcode.com/problems/online-stock-span/,Medium,Design/OOD,,,,,,,"Stack, monotonic stack"
22,Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,Design/OOD,,,,,,,Linked list
23,Serialize/Deserialize Nested JSON ,https://leetcode.com/discuss/interview-question/124708/Print-JSON-format-String,Hard,Design/OOD,,,,,,,
,,,,,,,,,,,
25,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Array,X,X,X,X,X,X,
26,Two Sum 2,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,Array,,,X,,,,
27,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Array,X,X,X,X,X,X,Greedy
28,Best Time to Buy and Sell Stock w/Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium,Array,,,X,,X,X,DP
29,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,Array,X,X,X,X,,X,Set
30,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,Array,X,X,X,X,,X,
31,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,Array,X,X,X,X,X,X,Prefix sum
32,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Easy,Array,X,X,X,X,X,,"greedy/sliding window
trick is to keep track of total, whenever total sum goes negative, reset to 0 and start again and just keep checking:
res = max(res, total)"
33,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,Array,X,X,X,X,,X,DP
34,Single Number,https://leetcode.com/problems/single-number/,Easy,Array,,,X,X,X,X,Bit Manipulation
35,Missing Number,https://leetcode.com/problems/missing-number/,Easy,Array,,,X,X,,X,Bit Manipulation
36,Find all Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,Easy,Array,,,,,,X,
37,Find all Duplicates in Array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,Medium,Array,,,,,,X,
38,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,Array,,,,X,X,X,Hash
39,Rotate Array,https://leetcode.com/problems/rotate-array/,Easy,Array,,,,X,X,,
40,Contiguous Array,https://leetcode.com/problems/contiguous-array/,Medium,Array,,,,X,,,
41,Missing Ranges,https://leetcode.com/problems/missing-ranges/,Easy,Array,,,,,X,,
42,Majority Element,https://leetcode.com/problems/majority-element/,Easy,Array,,,,X,X,,Sorting
43,Range Sum Query,https://leetcode.com/problems/range-sum-query-immutable/,Easy,Array,,,,,,X,"Prefix Sum, Design"
44,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium,Array,,,,X,,,"Prefix Sum, Hashtable"
45,Two City Scheduling,https://leetcode.com/problems/two-city-scheduling/solution/,Medium,Array,,,,,,,"Greedy, Sorting"
46,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,Hard,Array,,,,X,,,"DP, Binary Search, Sorting"
47,"Minimum Number of Arrows 
to Burst Balloons",https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,Array,,,,,,X,Greedy
48,Gas Station,https://leetcode.com/problems/gas-station/,Medium,Array,,,X,X,,,"Greedy, stupid asf problem
check if sum(cost) > sum(gas), if so, return -1 because we can't make a trip

keep track of possible starting point and total
iterate through array and do total += gas[i] - cost[i]
if total < 0, reset total to 0 and set starting point to i + 1
then just return starting point"
49,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,Medium,Array,,,X,,,,"greedy ofc...

keep a count dictionary that counts how many of each card exists
initialize a minHeap with just the keys (unique vals in the given array)
enter a while loop with condition while minHeap is not empty
then get the min value thats in the heap, iterate from that min value to min value + groupSize
if the current index is NOT in the count dictionary, we know it doesnt exist so we return false
then decrement with count[i] -= 1, and see if it's 0
if count[i] == 0 AND I IS NOT THE MINIMUM of the heap, WE RETURN FALSE
otherwise we just pop from the heap"
50,Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Medium,Array,,,X,,,,Greedy
,,,,,,,,,,,
52,3Sum,https://leetcode.com/problems/3sum/,Medium,2 Pointers,X,X,X,X,,X,"Sorting input array, then making sure you skip past duplicates on the left pointer"
53,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,2 Pointers,,,,X,,X,
54,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,2 Pointers,X,X,X,X,,X,Greedy
55,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,2 Pointers,,,X,X,X,X,
56,Intersection of Two Arrays 2,https://leetcode.com/problems/intersection-of-two-arrays-ii/,Easy,2 Pointers,,,,,X,,
57,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,2 Pointers,,,,X,X,X,
58,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,Easy,2 Pointers,,,,X,,X,
59,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy,2 Pointers,,,,X,,,
60,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,2 Pointers,,,X,X,,X,Binary Search
61,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,Medium,2 Pointers,,,,,,X,
62,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,2 Pointers,,,,,,,Recursion?
,,,,,,,,,,,
64,Longest Substring w/out Repeating Chars,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,Sliding Window,X,X,X,X,X,X,
65,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,Sliding Window,X,X,X,X,,X,
66,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,Sliding Window,X,X,X,X,X,X,
67,Longest Substring w/at most K Distinct Chars,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,Hard,Sliding Window,,,,,X,,
68,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,Sliding Window,,,X,X,X,X,
69,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,Sliding Window,,,,,,X,
70,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,Medium,Sliding Window,,,,,,X,
71,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,Sliding Window,,,X,,,X,
72,Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/,Hard,Sliding Window,,,,,,X,
73,"Count Unique Characters of 
All Substrings of a Given String",https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/,Hard,Sliding Window,,,,,,X,
74,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,Sliding Window,,,,,,X,
75,Find all Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,Sliding Window,,,,X,,,
76,Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,Medium,Sliding Window,,,,,,,
77,"Minimum Number of Flips to 
Make Binary Strings Alternating",https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/,Medium,Sliding Window,,,,,,,
,,,,,,,,,,,
79,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,String,X,X,X,X,,,
80,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,String,X,X,X,X,X,,
81,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,String,X,,X,X,,,2 Pointers
82,Valid Palindrome 2,https://leetcode.com/problems/valid-palindrome-ii/,Easy,String,X,,,,,,
83,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,String,X,,X,X,X,,DP (but expansion is easier)
84,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,String,X,X,X,,,X,DP (but expansion is easier)
85,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Medium,String,X,X,X,X,,,Design
86,Ransom Note,https://leetcode.com/problems/ransom-note/,Easy,String,,,,X,,,Hashtable
87,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,String,,,,X,,,Math
88,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,String,,,,X,,,
89,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare/,Easy,String,,,,X,,X,2 pointers
90,Find First Palindrome in Array,https://leetcode.com/problems/find-first-palindromic-string-in-the-array/,Easy,String,,,,,,,
91,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,Easy,String,,,,X,,,
92,Reverse String,https://leetcode.com/problems/reverse-string/,Easy,String,,,,,X,,
93,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,Easy,String,,,,,X,,
94,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,String,,,,X,X,,
95,Implement strStr(),https://leetcode.com/problems/implement-strstr/,Easy,String,,,,,X,,
96,Largest Number,https://leetcode.com/problems/largest-number/,Medium,String,,,,X,,,
97,Reorganize String,https://leetcode.com/problems/reorganize-string/,Medium,String,,,,,,X,Greedy
98,Reorganize String K Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart/,Hard,String,,,,,,X,Greedy
99,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,String,,,X,,X,,Recursion
100,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,String,,,,,,,Recursion
101,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string/,Easy,String,,,,,,X,Trie
102,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary/,Medium,String,,,,,,X,Trie
103,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,Hard,String,,,,X,,X,Trie
104,Text Justification,https://leetcode.com/problems/text-justification/,Hard,String,,,,,,,Greedy
105,Parition Labels,https://leetcode.com/problems/partition-labels/,Medium,String,,,X,,,,Greedy
106,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Medium,String,,,X,,,,Greedy
107,Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary/,Easy,String,,,,,,,
,,,,,,,,,,,
109,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,Stack,X,X,X,X,X,,
110,Longest Valid Parenthesis,https://leetcode.com/problems/longest-valid-parentheses/,Hard,Stack,,,,X,,,
111,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,Stack,,,X,X,X,,Monotonic stack
112,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,Stack,,,X,X,,,"stack with pairs of temp and index, initialize answers with all 0s, then traverse with enumerate
do while stack not empty and current temperature is greater than last elem on stack:
pop from stack and get the index, then do answer[stackindex] = i - stackindex
finally just append the current pair of temp and index"
113,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,Stack,,,,X,,,
114,Car Fleet,https://leetcode.com/problems/car-fleet/,Medium,Stack,,,X,,,,"can either do with stack or without one
REMEMBER TO SORT BY DECREASING POS, ZIP TWO ARRAYS TOGETHER

for without stack, just iterate through zipped array and keep track of slowest (target - p)/s
everytime you see a number slower than the one stored, just set prev = to that number and add one to answer

for with stack, iterate through zipped array again and append (target - p)/s for EACH ELEMENT
then if len(stack) >= 2 and stack[-1] <= stack[-2], pop once 
return length of stack"
115,"Basic Calculator (+, -, parentheses, space)",https://leetcode.com/problems/basic-calculator/,Hard,Stack,,,,X,,,Recursion
